ID	Question	Domain
147	In which countries can you pay using the West African CFA franc?	Location
148	Which holidays are celebrated around the world?	Location
149	What is the longest river?	Location
150	Which organizations were founded in 1930?	Company
152	Who has Tom Cruise been married to?	People
153	Which weapons did Heckler & Koch develop?	Company
154	What is the smallest city by area in Germany?	Location
155	What is the ruling party in Lisbon?	Politics
158	List all episodes of the first season of the HBO television series The Sopranos!	Movie
159	What does ICRO stand for?	Company
161	Give me all films produced by Hal Roach.	Movie
162	Who played Agent Smith in Matrix?	Movie
163	Which Greek parties are pro-European?	Politics
164	Give me a list of all bandleaders that play trumpet.	Music
165	What is the second highest mountain on Earth?	Location
167	Which rockets were launched from Baikonur?	Space
169	Which Chess players died in the same place they were born in?	People
170	Who is the owner of Facebook?	Company
171	Give me all movies with Tom Cruise.	Movie
172	In which U.S. state is Fort Knox located?	Location
173	Give me all cities in New Jersey with more than 100000 inhabitants.	Location
174	Which mountains are higher than the Nanga Parbat?	Location
176	What are the specialities of the UNC Health Care?	Medicin
178	List the seven kings of Rome.	Politics
179	Give me all people that were born in Vienna and died in Berlin.	People
181	Show me all the breweries in Australia.	Company
182	Give me all films produced by Steven Spielberg with a budget of at least $80 million.	Movie
183	Give me all soccer clubs in Spain.	Sports
184	Who produced films starring Natalie Portman?	Movie
185	Give me all breeds of the German Shepherd dog.	Animals
186	Who is the heaviest player of the Chicago Bulls?	Sports
187	Which languages are spoken in Estonia?	Location
188	What is the largest country in the world?	Location
189	What is the largest city in america?	Location
190	Who was the pope that founded the Vatican Television?	Company
191	Who discovered Ceres?	Location
192	Who is the king of the Netherlands?	Politics
194	What is the alma mater of the chancellor of Germany Angela Merkel?	Politics
196	Which airports does Yeti Airlines serve?	Location
197	Where is the birthplace of Goethe?	Book
199	Which ingredients do I need for carrot cake?	Food
200	Who created Wikipedia?	Software
201	What is the highest mountain in Saxony Germany?	Location
202	Who is the current federal minister of finance in Germany?	Politics
203	In which country is Mecca located?	Location
204	Who played Gus Fring in Breaking Bad?	Movie
205	In which country does the Nile start?	Location
206	In which state Penn State University is located?	Location
207	What is the biggest stadium in Spain?	Sports
208	Who is the coach of Ankara's ice hockey team?	Sports
210	Who created Batman?	Movie
212	Who are the developers of DBpedia?	Software
213	Give me all movies directed by Francis Ford Coppola.	Movie
215	What is the location of the Houses of Parliament?	Politics
219	Who was the first King of England?	Politics
220	Who is the editor of Forbes?	People
221	Which awards did Douglas Hofstadter win?	People
222	Who is the youngest Darts player?	Sports
224	Which river does the Brooklyn Bridge cross?	Location
231	Give me all launch pads operated by NASA.	Space
232	Who developed the video game World of Warcraft?	Games
237	Where is Sungkyunkwan University?	Location
238	Who is the author of the interpretation of dreams?	Book
241	Who developed Slack?	Software
242	Where is the origin of Carolina reaper?	Food
246	Which cities does the Weser flow through?	Location
247	In which programming language is GIMP written?	Software
248	Which university did Angela Merkel attend?	Politics
249	List all the musicals with music by Elton John.	Music
251	What is the longest river in the world?	Location
253	Which companies produce hovercrafts?	Company
254	Who was the wife of U.S. president Lincoln?	Politics
255	Which species does an elephant belong?	Animals
257	In which ancient empire could you pay with cocoa beans?	Location
259	Who composed the soundtrack for Cameron's Titanic?	Music
263	Which electronics companies were founded in Beijing?	Company
264	Who was the successor of John F. Kennedy?	Politics
265	Who is the mayor of Paris?	Politics
269	Which Indian company has the most employees?	Company
270	Who was John F. Kennedy's vice president?	Politics
271	Which country does the creator of Miffy come from?	Book
273	In what city is the Heineken brewery?	Company
275	List the children of Margaret Thatcher.	Politics
276	From which region is the Melon de Bourgogne?	Location
279	Which city has the most inhabitants?	Location
280	What is Donald Trump's main business?	Politics
282	Which films did Stanley Kubrick direct?	Movie
285	Who is the mayor of the capital of French Polynesia?	Politics
286	Give me all actors starring in movies directed by William Shatner.	Movie
289	What is the highest mountain in Italy?	Location
290	List all games by GMT.	Games
291	What is the official language of Suriname?	Location
292	In which city did Nikos Kazantzakis die?	People
293	What is in a chocolate chip cookie?	Food
294	In which country is the Limerick Lake?	Location
295	Give me all video games published by Mean Hamster Software.	Games
296	Give me all members of Prodigy.	Music
297	In which time zone is Rome?	Location
299	Who are the writers of the Wall album of Pink Floyd?	Music
300	Who is the mayor of Rotterdam?	Politics
301	What is the largest city in Australia?	Location
302	Who was married to president Chirac?	Politics
303	What form of government is found in South Africa?	Politics
306	Who is the tallest basketball player?	Sports
310	To which party does the mayor of Paris belong?	Politics
311	Who is the Formula 1 race driver with the most races?	Sports
312	What country is Sitecore from?	Company
313	Give me the birth place of Frank Sinatra.	Location
315	Who is the son of Sonny and Cher?	People
317	What is the capital of Cameroon?	Location
320	Who is the oldest child of Meryl Streep?	People
321	Which television shows were created by Walt Disney?	Movie
322	What does IYCM stand for?	Politics
323	Which types of grapes grow in Oregon?	Food
328	Which scientist is known for the Manhattan Project and the Nobel Peace Prize?	Science
330	Who composed the music for Harold and Maude?	Music
332	Which city has the least inhabitants?	Location
333	Where is Syngman Rhee buried?	Location
335	Who wrote the book The Pillars of the Earth?	Book
337	Who was the doctoral supervisor of Albert Einstein?	Science
339	Who was Vincent van Gogh inspired by?	Art
340	Which building after the Burj Khalifa has the most floors?	Location
345	Who is starring in Spanish movies produced by Benicio del Toro?	Movie
347	Show me all books in Asimov's Foundation series.	Book
348	Where was Bach born?	Location
349	Which city has the oldest running metro?	Location
350	Who designed the Brooklyn Bridge?	Location
352	Who is the host of the BBC Wildlife Specials?	Movie
354	What country is Mount Everest in?	Location
355	To which artistic movement did the painter of The Three Dancers belong?	Art
357	What is the bridge with the longest span?	Location
359	Who was buried in the Great Pyramid of Giza?	Location
364	In which UK city are the headquarters of the MI6?	Location
365	Who created Family Guy?	Movie
366	In which city does the Chile Route 68 end?	Location
367	Give me the grandchildren of Elvis Presley.	People
369	In which military conflicts did Lawrence of Arabia participate?	Politics
370	What is the timezone in San Pedro de Atacama?	Location
371	Give me all books by William Goldman with more than 300 pages.	Book
372	What did Bruce Carver die from?	People
373	Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?	Company
377	In which city does Sylvester Stallone live?	Location
378	Which books by Kerouac were published by Viking Press?	Book
379	Who wrote the song Hotel California?	Music
380	What is the capital of Canada?	Location
381	Who is the mayor of Tel Aviv?	Politics
382	What form of government does Russia have?	Politics
383	Show me the book that Muhammad Ali wrote.	Book
384	Who was the first to climb Mount Everest?	Sports
386	What is the currency of the Czech Republic?	Location
387	Where in France is sparkling wine produced?	Food
389	Which movies starring Mickey Rourke were directed by Guy Ritchie?	Movie
390	In which films did Julia Roberts as well as Richard Gere play?	Movie
391	Show me Hemingway's autobiography.	Book
393	What are the five boroughs of New York?	Location
394	Give me all Canadian Grunge record labels.	Music
395	In which country does the Ganges start?	Location
396	Who is the founder of Penguin Books?	Book
397	Who wrote the Game of Thrones theme?	Music
398	Who is the president of Eritrea?	Politics
399	In which city did John F. Kennedy die?	Location
400	What is the highest mountain in Australia?	Location
402	Give me the currency of China.	Location
403	Give me all Swedish oceanographers.	Science
404	In which city are the headquarters of the United Nations?	Politics
406	In which countries do people speak Japanese?	Location
407	Which of Tim Burton's films had the highest budget?	Movie
408	Which museum in New York has the most visitors?	Location
409	What was the first Queen album?	Music
410	What was the first name of the band Queens of the Stone Age?	Music
411	What was the last movie with Alec Guinness?	Movie
412	Give me all actors starring in Last Action Hero.	Movie
413	Who discovered Pluto?	Science
