YAGO,Question,Wikidata,MusicBrainz,DBpedia,LinkedMDB,ID
,Show me all books in Asimov's Foundation series.,"Die Rettung des Imperiums, Forward the Foundation, Foundation, Foundation and Chaos, Foundation and Earth, Foundation and Empire, Foundation's Fear, Foundation's Triumph, Foundation’s Edge, Prelude to Foundation, Second Foundation",,"Forward the Foundation, Foundation and Earth, The Originist",,347
,Which building after the Burj Khalifa has the most floors?,Dubai One Tower,,102 Incheon Tower,,340
,What is the highest mountain in Australia?,Mount Pieter Botte,,Mawson Peak,,400
,Who is the mayor of the capital of French Polynesia?,Michel Buillard,,Michel Buillard,,285
,Which city has the oldest running metro?,Belgrade Metro,,Kunming,,349
,What is the highest mountain?,Mount Belford,,Kings Peak (Idaho),,120
,Which programming languages influenced Javascript?,"AWK, C, HyperTalk, Java, LiveScript, Lua, Perl, Python, Scheme, Self",,"C (programming language), HyperTalk, Java (programming language), Lisp (programming language), Lua (programming language), Perl, Python (programming language), Scheme (programming language), Self (programming language)",,122
,Which software has been developed by organizations founded in California?,"Facetime, Geneva, ProRes 422, Siri, Swift, iTunes Ping",,"Armor Battle, Army Men: RTS, Astrosmash, Auto Racing (video game), AutoCAD, AutoCAD Architecture, Autodesk 123D, Autodesk Alias, Autodesk Animator, Autodesk Gameware, Autodesk Inventor, Autodesk MotionBuilder, Autodesk Mudbox, Autodesk Revit, Autodesk SketchBook Pro, Autodesk Softimage, B-17 Bomber (video game), Baseball (Intellivision video game), Basketball (1980 video game), Battlezone II: Combat Commander, Berkeley DB, Bomb Squad (video game), Borland C++, Borland Kylix, Borland Together, Borland Turbo C, Boxing (1981 video game), Buzz Bombers, Buzz! Junior: Robo Jam, CAD Overlay, Call of Duty (video game), Call of Duty 2, Call of Duty 4: Modern Warfare, Call of Duty: Ghosts, Call of Duty: Infinite Warfare, Call of Duty: Modern Warfare 2, Call of Duty: Modern Warfare 3, Cisco IOS, Cisco IOS XE, Cisco Network Registrar, Cisco Security Monitoring, Analysis, and Response System, Cisco Systems VPN Client, Clam AntiVirus, CodeWright, Communist Mutants from Space, Cooliris (plugin), Dark Reign 2, Dbx (debugger), Destroy All Humans!, Destroy All Humans! 2, DevPartner, Dr. Safety, Dragonstomper, Escape from the Mindmaster, Eudora (email client), Eudora OSE, FireChat, Football (video game), Frogs and Flies, Fsn (file manager), Full Spectrum Warrior, Full Spectrum Warrior: Ten Hammers, Ghost (software), GlassFish, Graal (compiler), GrandView (software), HK2 DI Kernel, HijackThis, Horse Racing (video game), Hot Wheels Stunt Track Driver, HotSpot, Hover Force, Hyperion Planning, IRIS GL, IRIX, IW engine, Immunet, Imperialism (video game), Imperialism II: Age of Exploration, Intellivision World Series Baseball, JBuilder, JDeveloper, Java (software platform), Java API for RESTful Web Services, Java API for XML Web Services, Java Advanced Imaging, Java Desktop System, Java Development Kit, JavaTest harness, Jinitiator, Kool-Aid Man (video game), Kynapse, Libtiff, Linear Tape File System, MapGuide Open Source, Mercenaries 2: World in Flames, Mercenaries: Playground of Destruction, Midnight Star (video game), Midnight Star: Renegade, Motocross (video game), Movable Type, MyISAM, MySQL, MySQL Cluster, MySQL Enterprise, MySQL Workbench, MyTown (video game), NASL Soccer, Nashorn (JavaScript engine), Navisworks, Network Security Services, Night Stalker (video game), Norton AntiBot, Norton Family, Norton Internet Security, Norton Personal Firewall, Norton Power Eraser, Norton Security, Norton Utilities, Norton Zone, ObjectVision, Open Message Queue, Open64, OpenGrok, OpenJDK, OpenOffice.org, OpenSolaris, OpenStep, Oracle Application Express, Oracle Application Server, Oracle BI Publisher, Oracle Business Intelligence Suite Enterprise Edition, Oracle Complex MRO, Oracle Data Mining, Oracle Database, Oracle Developer Studio, Oracle Discoverer, Oracle Enterprise Manager Ops Center, Oracle Enterprise Pack for Eclipse, Oracle Grid Engine, Oracle Linux, Oracle Media Objects, Oracle Multimedia, Oracle NoSQL Database, Oracle SQL Developer, Oracle Spatial and Graph, Oracle TopLink, Oracle VDI, Oracle VM Server for SPARC, Oracle VM Server for x86, Oracle WebLogic Server, Oracle iPlanet Web Proxy Server, Oracle iPlanet Web Server, Packet Tracer, Panzer General III: Scorched Earth, Party Mix (video game), Payara Server, PcAnywhere, PeopleTools, Phaser Patrol, Planet Hot Wheels, Pretty Good Privacy, Project Grizzly (software), Project Jersey, Project Metro, Project Phobos, Project Shoal (software), Q&A (Symantec), QuickBooks, REX OS, Scaleform GFx, Sea Battle, Shark! Shark!, Sharp Shot, Silk Central, Skiing (Intellivision video game), Snafu (video game), Snort (software), Solaris Containers, Space Hawk, Space Spartans, Star Strike, Star Wars: Battlefront (2004 video game), Star Wars: Battlefront II, Star Wars: The Best of PC, Star Wars: The Clone Wars (2002 video game), StarOffice, Sub Hunt, Sun Java System Communications Suite, Sword of Saros, Symantec Online Backup, Tcov, TeraText, The Adventures of Elmo in Grouchland (video game), The Dark Knight (video game), The Lord of the Rings: Conquest, The Saboteur, TimesTen, TopLink, Trade Empires, Trend Micro Internet Security, Triple Action, Tron: Deadly Discs, Tron: Solar Sailer, Tropico 2: Pirate Cove, Turbo Assembler, Turbo C++, Turbo Delphi, Turbo Vision, Tuxedo (software), VirtualBox, VisualVM, Voldemort (distributed data store), WebScaleSQL, Webcam Social Shopper, Zero (game engine)",,125
,Which instruments does Cat Stevens play?,"bass guitar, guitar, piano, voice",,"Baldwin Piano Company, Epiphone Casino, Fender Telecaster, Gibson ES-335, Gibson Everly Brothers Flattop, Gibson J-200, Mandolin, Mellotron, Ovation Guitar Company, Rhodes piano",,126
,Who was the successor of John F. Kennedy?,"Benjamin A. Smith II, Lyndon B. Johnson, Tip O'Neill",,"Benjamin A. Smith II, Lyndon B. Johnson, Tip O'Neill",,264
,Who wrote The Hunger Games?,Suzanne Collins,,Suzanne Collins,,129
,Who is the editor of Forbes?,Steve Forbes,,Steve Forbes,,220
