YAGO,Wikidata,Question,ID
स्टार वॉर्स एपिसोड IV: अ न्यू होप,अ स्टार इज़ बोर्न,एलेक गिनीज की आखिरी फिल्म क्या थी?,411
अर्नोल्ड श्वार्ज़नेगर,"अर्नोल्ड श्वार्ज़नेगर, सिलवेस्टर स्टैलोन, शेरोन स्टोन, जीन-क्लाउडे वैन डैम",मुझे लास्ट एक्शन हीरो में अभिनीत सभी कलाकारों के नाम बतायें दो।,412
रूस,भारत, किस देश में सबसे अधिक आधिकारिक भाषाएं हैं?,110
"अफ़ग़ानिस्तान, भारत, पाकिस्तान, म्यान्मा, भूटान, नेपाल, चीनी जनवादी गणराज्य","चीनी जनवादी गणराज्य, भारत, म्यान्मार, नेपाल, पाकिस्तान, अफ़्गानिस्तान", हिमालय पर्वत प्रणाली किन देशो में विस्तारित करती है?,81
लेनी रीफेन्स्टाल,"माइक वॉन ब्रेमेन, लेनी रीफेन्स्टाल, बेन",मुझे बर्लिन में पैदा हुए सभी कलाकारों को दो।,86
अलका याज्ञिक,रोनी स्क्रूवाला,सबसे अधिक फिल्में किसने बनाई?,84
"क्रूसेड, प्रथम विश्व युद्ध, पेरिस शांति सम्मेलन, गोरिल्ला युद्ध","प्रथम विश्वयुद्ध, अरब विद्रोह",अरब के लॉरेंस ने किस सैन्य युद्ध में भाग लिया?,369
,"Qotsa, Queens of the stone age, Queens Of The Stone Age, QOTSA, Queens Of The Stone Age, Queens of the stone age, Queens of The Stone Age, Queens Of The Stone Age, Queens of the stoneage, Queens Of the Stoneage, Gamma Ray, Q.O.T.S.A., Qotsa, QOTSA, Queens Of The Stone Age, QOTSA, Queens of the stone age, Queens Of The Stone Age, Qotsa, کویینز او د استون ایج, Qotsa, Queens of stoneage, Queens Of The Stone Age, Queens Of The Stoneage, QotSA, QOTSA, Queens age, Queens of the stone age, Queens of the Stone age, Queens Of The Stone Age, Queens Of The Stone Age, מלכות עידן האבן, קווינז אוף דה סטון אייג', QOTSA, Queens Of The Stone Age, Queens of the stone age, Queens of the stone age, Qotsa, QOTSA, Queens of the Stone Age, 퀸즈 오브 더 스톤 에이지, QOTSA, Queens of the stone age, Queens of the Stone age, Queens of the stoneage, Queens of the Stoneage, Qotsa, QOTSA, Queens Of The Stone Age, Queens Of The Stoneage, QOTSA, Queen of the stone age, Queens of the stone age, Queens Of The Stone Age, Queens of the stoneage, Qotsa, QOTSA, Queens of the stone age, Queens of The Stone Age, Queens Of The Stone Age, Queens of the stoneage, QotSA, Queens Of The Stone Age, Queens Of The Stone Age, Queens Of The Stone Age, QOTSA, Квинс оф д стоун ејџ, Queens of the stone age, Queens Of The Stone Age, Queens of the Stoneage",क्या था  प्रथम नाम का  बैंड क्वींस का  पत्थर उम्र? ,410
माइकल जॉर्डन,करीम अद्बुल -जब्बार,सबसे लंबा बास्केटबॉल खिलाड़ी कौन है?,306
"एस्टोनिया, फ़िनलैण्ड, जर्मनी, ऑस्ट्रिया, स्लोवाकिया, इटली, बेल्जियम, लातविया, स्लोवेनिया, लक्ज़मबर्ग, मोनाको, पुर्तगाल, आयरलैण्ड गणतंत्र, मॉन्टेनीग्रो, कोसोवो गणराज्य, बाल्टिक देश, माल्टा","आयरलैण्ड, स्पेन, बेल्जियम, लक्ज़मबर्ग, फ़िनलैण्ड, लिथुआनिया, इटली, ऑस्ट्रिया, यूनान, पुर्तगाल, नीदरलैण्ड, पैरिस, फ़्रान्स, जर्मनी, एस्टोनिया, स्लोवाकिया, स्लोवेनिया, अण्डोरा, लातविया, साइप्रस, माल्टा, मोनैको, मॉन्टेनीग्रो, वैटिकन नगर, सान मारिनो, यूरोपीय संघ, कोसोवो गणराज्य, फ़्रान्सीसी गुयाना, ऑलैण्ड द्वीपसमूह, कातालोन्या, फ़्रांस की अर्थव्यवस्था, यूरोक्षेत्र, युरोपय केनदरिय बेनक, साबाडेल, बेनेलक्स, गुआदेलूप, मार्टीनिक, मेयोट, रेयूनियों, एज़ोरेस, सेंट बार्थेलेमी, क्रीत, सन्त पियर और मिकलान, सर्बिया और मोण्टेनेग्रो, दक्षिण फ्रांसीसी और अंटार्कटिक लैंड, सेंट मार्टिन की सामूहिकता, हिन्द महासागर में बिखरे द्वीप, महानगरीय फ़्रांस, मोंसोरो", किन किन देशों ने यूरो अपनाया?,102
"द सोशल नेटवर्क, रियो, रियो २","द सोशल नेटवर्क, बैटमैन वी सुपरमैन : डॉन ऑफ जस्टिस, जस्टिस लीग",जेसी ईसेनबर्ग  ने किस फिल्मों में काम किया है? ,39
हॉलीवुड,हैफा, हिलेल स्लोवाक की मौत कहां हुई?,38
"बर्लिन, ब्रेमेन, ब्रेमेन (राज्य), ब्रंजविक, हनोवर, म्यूनिख","ब्रेमेरहेवन, ब्रेमेन",किन शहरों से वेसर का प्रवाह होता है?,246
"मैनहटन, ब्रुकलीन, श्रेणी:रानियाँ","मैनहटन, ब्रुकलीन, क्वीनस, ब्रोंक्स",न्यूयॉर्क के पांच नगर क्या हैं?,393
"플리머스 (몬트세랫), Plymouth, Montserrat, फुंचाल, Funchal, Фуншал, ฟุงชาล, Plymouth (Montserrat), Plymouth (Montserrat), პლიმუთი (მონსერატი), Funshal",माउंट ईसा,सबसे कम निवासियों वाला शहर कौन सा है?,332
"फॉक्सकोन्न, भारतीय रेल, चीन राष्ट्रीय पेट्रोलियम निगम, मैकडॉनल्ड्स, रोवियो एंटरटेनमेंट, वॉल मार्ट, हर्बालाइफ, अमूल","चीन राष्ट्रीय पेट्रोलियम निगम, भारतीय रेल",कौन कौन से कंपनियों मे दस लाख सेअधिक कर्मचारि है? ,62
"जुवेंटस एफ सी, सेल्टिक एफ.सी., आर्सेनल एफ सी, एटलेटिको मैड्रिड, आरसीडी एस्पेनयॉल, पेरिस सेंट-जर्मेन, बोरुसिया डॉर्टमुंड, मैनचेस्टर यूनाइटेड एफ़.सी., एस्टन विला एफ.सी., ए एस मोनाको, लिवरपूल एफ़.सी., इंटर मिलान, एस एल बेनफिका, पीएफसी सीएसकेए मास्को, चेल्सी एफ़.सी., एवर्टन एफसी, टॉटनहम हॉटस्पर एफ़.सी., मैनचेस्टर सिटी एफ.सी., न्यूकैसल युनाइटेड एफ़॰सी॰, फेनूर्ड, बर्मिंघम सिटी एफ.सी., बोरशिया मौनचेंगलाडबाख, रेंजर्स एफ.सी., लीड्स युनाइटेड ए.एफ.सी., नॉटिंघम फॉरेस्ट एफ.सी., वेस्त ब्रोम्विछ अल्बिओन् एफ.सी., इप्सविच टाउन एफ.सी., वॉल्वरहैम्प्टन वांडरर्स एफ.सी., माल्मो एफएफ, कोलोराडो रैपिड्स, न्यूयॉर्क रेड बुल्स, एफसी त्वेन्ते, ओलिम्पिक डी मार्सिले, डैलस काउबॉयस, एफ सी बेयर्न म्यूनिख, रियल मैड्रिड सी. एफ़, एससी डैलस, टोरंटो एफसी, न्यूयॉर्क सिटी एफसी, बोस्टन रेड सोक्स, न्यूयॉर्क यांकीज़, कोलंबस क्रू एससी, ऑरलैंडो सिटी एससी, दिल्ली डाइनेमोज़ एफ़सी","मैनचेस्टर सिटी एफ.सी., एवर्टन एफसी, चेल्सी एफ़.सी., आर्सेनल एफ सी, मैनचेस्टर यूनाइटेड एफ़.सी., न्यूकैसल युनाइटेड एफ़॰सी॰, टॉटनहम हॉटस्पर एफ़.सी., वॉल्वरहैम्प्टन वांडरर्स एफ.सी., लिवरपूल एफ़.सी.",मुझे प्रीमियर लीग के सभी सॉकर क्लब के नाम दें।,64
"एमा वॉटसन, एवा ग्रीन, इसाबेल हूपर्ट, इसाबेल अदजानी, रोमेन ड्युरिस","एवा ग्रीन, रोमेन ड्युरिस, शाज़ान पद्मसी",मुझे उन सभी कलाकारों के नाम दें जो 1950 के बाद पेरिस में पैदा हुए थे। ,69
"न्यूर्क, न्यूर्क, न्यू जर्सी","पैटरसन, न्यूर्क, न्यू जर्सी, जर्सी सिटी, एलिजाबेथ",मुझे न्यू जर्सी के १००००० से अधिक निवासियों के साथ सभी शहरों की सूचि बतायें।,173
कॅण्टकी,"केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी, केन्टकी",सैयुक्त राज्य के किस राज्य में फोर्ट नॉक्स स्थित है?,172
"रेन-मैन, रिस्की बिजनेस, रिस्की बिजनेस (फिल्म)","रेन-मैन, Mission: Impossible 3, मिशन: इम्पॉसिबल II, मिशन: इम्पॉसिबल - गोस्ट प्रोटोकॉल, रिस्की बिजनेस, मिशन: इम्पॉसिबल, मिशन: इम्पॉसिबल – रोग नेशन, मिशन: इम्पॉसिबल - फॉलआउट",देना मुझे सब चलचित्र साथ में टॉम क्रूज। ,171
"मार्क ज़ुकेरबर्ग, डस्टिन मॉस्कोविट्ज़",फेसबुक,कौन है  मालिक का फेसबुक? ,170
एर्टन सेना,माइकल शूमाकर,सबसे अधिक दौड़ वाले फॉर्मूला 1 रेस ड्रायवर कौन है?,311
"पुलित्ज़र पुरस्कार, नेशनल बुक अवॉर्ड (संयुक्त राज्य), नेशनल बुक अवॉर्ड",अमेरिका का राष्ट्रिय पुस्तक पुरस्कार,डगलस हॉफस्टैडर ने किन पुरस्कारों को जीता है?,221
दी लेगो मूवी,"गुलाबी गैंग, बॉर्डर (2018 स्वीडिश फिल्म), द लेगो मूवी, द लेगो मूवी",मुझे सभी डेनिश फिल्में दें।,11
"विश्व मौसम विज्ञान संगठन, इंडियन रेअर अर्थ्स लिमिटेड, केन्द्रीय खाद्य प्रौद्योगिकी अनुसंधान संस्थान, ओलिम्पिक ल्यों, गल्फ़ एयर, नेपाली कांग्रेस, भारतीय प्रौद्योगिकी संस्थान, यूरोपीय ब्रॉडकास्टिंग यूनियन, पठेट लाओ, हैमिल्टन टाइगर-कैटस, मिशनरीज़ ऑफ चैरिटीज़, राष्ट्रीय रासायनिकी प्रयोगशाला, श्रीलंका का केंद्रीय बैंक, भारत का योजना आयोग, यूनाइटेड बैंक आफ इंडिया, पश्चिम बंगाल अग्नि-शमन सेवा, मध्य प्रदेश क्रिकेट टीम, पुणे महानगर पालिका, भारतीय सांस्कृतिक संबंध परिषद, भारत निर्वाचन आयोग, गलुआपुर इण्टर कॉलेज","वर्ल्ड फैलोशिप ऑफ बुद्धिस्ट्स, काजू अनुसंधान निदेशालय", 1950 में किस संगठनों  की स्थापना की गई थी?,18
"केएफसी, अमेरिकन एयरलाइंस, यूनीलीवर, टेक्सस इंस्ट्रुमेंट्स","शरणार्थियों के लिए नानसेन अंतर्राष्ट्रीय कार्यालय, इंडियन एम्पायर सोसाइटी",कौन कौन से संगठनों थे स्थापित में 1930? ,150
राष्ट्रीय राजधानी क्षेत्र,शंघाई,कौन से शहर में सबसे अधिक निवासी है?,279
"चंद्रिका कुमारतुंगे, लुइज़ इंसियो लूला दा सिल्वा, डेसी बोउटर्सी, यू थेन सेन, ली जोंग वुक, महिन्दा राजपक्षे, खालिदा ज़िया, एंगस डीटन, रोड्रिगो दुतेर्ते, माधवराव सिंधिया, प्रियरंजन दासमुंशी, एन॰ श्रीनिवासन","एंगस डीटन, रिचर्ड थेलर, राम नाथ कोविन्द, डेसी बोउटर्सी, अली अब्दुल्ला सालेह, चंद्रिका कुमारतुंगे, महिन्दा राजपक्षे, रोड्रिगो दुतेर्ते", 1945 में कौन कौन से राष्ट्रपति पैदा हुए थे?,43
"नाइजर, माली, सेनेगल, गिनी-बिसाऊ, बेनिन, बुर्किना फासो, कोत दिव्वार","माली, टोगो, बेनिन, बुर्किना फासो, गिनी-बिसाऊ, कोत दिव्वार, नाइजर, सेनेगल",में कौन कौन से देशों कर सकते हैं आप वेतन का उपयोग करते हुए  पश्चिम अफ़्रीकी सीएफए फ्रैंक? ,147
"रमज़ान, शुक्रवार, योम किपुर, मुहर्रम, शब-ए-क़द्र, थैंक्सगिविंग, राष्ट्रीय दिवस, ईद-उल-अज़हा, ईद उल-फ़ित्र, अन्तरराष्ट्रीय महिला दिवस, नौरोज़, दीपावली, हैलोवीन, बॉक्सिंग डे, रौशन-शनाह, अंतर्राष्ट्रीय मज़दूर दिवस, चीनी नववर्ष, मातृ दिवस, हनुका, मीलाद उन-नबी, बाल दिवस, सफेद दिन, आंल सेंटस डे, कोरिया नव वर्ष दिवस, नव वर्ष, इस्लामी त्यौहार, विश्व स्वास्थ्य दिवस, बुद्ध जयंती, पाम रविवार, शब-ए-बारात, प्रभुप्रकाश, फ़ानूस, मध्य शरद त्योहार, होली, सैंट पैट्रिक दिवस, पितृ दिवस, पूरीम, ब्लैक फ़्राइडे (ख़रीदारी), ब्लैक फ़्राइडे, मेक्सिकी क्रान्ति, मानव बलि, गणतन्त्र दिवस (भारत), गणतन्त्र दिवस, राम नवमी, आर्मीनियाई जनसंहार स्मरण दिवस, आठ घण्टे का कार्य-दिवस आंदोलन, ताज़िया, नादाम, स्‍वतंत्रता दिवस, स्‍वतंत्रता दिवस (भारत), स्वतंत्रता दिवस, स्वतंत्रता दिवस (पाकिस्तान), ओणम, शुक्कोह, गणेश चतुर्थी, जर्मन एकता दिवस, आंल सोल्स डे, छिंग मिंग त्यौहार, लोसर, पोंगल, कोरिया धन्यवाद, वसन्त पञ्चमी, आस्ट्रेलिया दिवस, महाशिवरात्रि, मकर संक्रान्ति, गांधी जयंती, जन्माष्टमी, दुर्गा पूजा, दशहरा, यूरी की रात, संविधान दिवस, संविधान दिवस (डेनमार्क), स्वतंत्रता दिवस (बांग्लादेश), नवरात्रि, मई दिवस, महावीर जयन्ती, भाषा आन्दोलन दिवस, भारत में सार्वजनिक अवकाश, पहेला वैशाख, विषु, जल्लीकट्टू, गुरू-पूर्णिमा, छठ पूजा, हनुमान जयंती, राधाष्टमी, एकादशी तिथि, जुमातुल विदा, अक्षय तृतीया, धनतेरस, बसव जयंती, जरथुस्त्रनो, नर्क चतुर्दशी, पाकिस्तान दिवस, देवशयनी एकादशी, कार्तिक पूर्णिमा, गोवर्धन पूजा, विश्वकर्मा जयन्ती, शहीद दिवस, शहीद दिवस (भारत), स्‍वतंत्रता दिवस (ब्राज़ील), देव प्रबोधिनी एकादशी, विहार पंचमी, आमलकी एकादशी, निर्जला एकादशी, पुत्रदा एकादशी, मोक्षदा एकादशी, कामदा एकादशी, वरूथिनी एकादशी, संविधान दिवस (भारत)","आंल सेंटस डे, होली, बड़ा दिन, अंतरराष्ट्रीय श्रमिक दिवस, दशैं, नव वर्ष, पाम रविवार, ईस्टर, मई दिवस, स्वतन्त्रता दिवस, हनुका, संविधान दिवस (भारत), चीनी नववर्ष, रौशन-शनाह, पुथंडु, योम किपुर, जर्मन एकता दिवस, पूरीम, नव वर्ष का दिन, शुक्कोह, भाषा आंदोलन दिवस, ईद उल-फ़ित्र, ईद-उल-अज़हा, गांधी जयंती, गणेश चतुर्थी, youth Day, बॉक्सिंग डे, सशस्त्र सेना झंडा दिवस, आंल सोल्स डे, आस्ट्रेलिया दिवस, गणतन्त्र दिवस, राम नवमी, धन्यवाद, हनुमान जयंती, workers day, बुद्ध जयंती",कौन कौन से छुट्टियां कर रहे हैं मशहूर चारों ओर  विश्व? ,148
काइदू नदी,अमेज़न नदी,क्या है  सबसे लंबे समय तक नदी? ,149
http://yago-knowledge.org/resource/Earth,"चीनी जनवादी गणराज्य, नेपाल",कोनसे देश में माउंट एवरेस्ट है?,354
